id,state_id,pizza_consumption,pizza_store_per_10000_people,p_year_id
79,28,657,2.31,7
80,29,527,3.98,7
81,30,2915,3.24,7
82,31,329,1.58,7
83,32,5439,2.75,7
84,33,2035,2.05,7
85,34,179,2.42,7
86,35,3900,3.36,7
87,36,831,2.14,7
88,37,911,2.29,7
89,38,4663,3.65,7
90,39,289,3.89,7
91,40,978,2.02,7
92,41,217,2.54,7
93,42,1332,2.03,7
94,43,4428,1.64,7
95,44,561,1.87,7
96,45,101,2.9,7
97,46,1790,2.15,7
98,47,1375,1.95,7
99,48,123,1.87,7
100,49,604,3.26,7
101,50,1287,2.24,7
102,51,133,2.28,7
103,1,753,1.55,6
104,2,150,2.04,6
105,3,1137,1.64,6
106,4,700,2.37,6
107,5,6778,1.72,6
108,6,1062,2.02,6
109,7,1284,3.57,6
110,8,317,3.53,6
111,9,4453,2.28,6
112,10,1621,1.56,6
113,11,147,1.05,6
114,12,376,2.33,6
115,13,3048,2.37,6
116,14,1942,3,6
117,15,1112,3.6,6
118,16,719,2.48,6
119,17,1007,2.29,6
120,18,686,1.05,6
121,19,398,3.18,6
122,20,1328,2.24,6
123,21,2362,3.53,6
124,22,2831,2.96,6
125,23,1335,2.46,6
126,24,451,1.48,6
127,25,1507,2.49,6
128,26,261,2.57,6
129,27,419,2.24,6
130,28,642,2.3,6
131,29,512,3.87,6
132,30,2828,3.19,6
133,31,323,1.51,6
134,32,5278,2.69,6
135,33,1991,2.02,6
136,34,175,2.42,6
137,35,3810,3.42,6
138,36,815,2.12,6
139,37,892,2.27,6
140,38,4531,3.55,6
141,39,378,3.59,6
142,40,957,2,6
143,41,213,2.52,6
144,42,1307,2.01,6
145,43,4347,1.62,6
146,44,540,1.86,6
147,45,176,2.81,6
148,46,1751,2.12,6
149,47,1346,1.93,6
150,48,120,1.77,6
151,49,591,3.29,6
152,50,1259,2.19,6
153,51,131,2.25,6
154,1,763,1.58,5
155,2,139,1.9,5
156,3,1124,1.72,5
157,4,701,2.38,5
158,5,6630,1.74,5
159,6,1040,2,5
160,7,1077,3,5
161,8,297,3.24,5
162,9,4301,2.23,5
163,10,1596,1.61,5
164,11,471,1.21,5
165,12,349,2.19,5
166,13,3023,2.35,5
167,14,1806,2.76,5
168,15,1118,3.64,5
169,16,745,2.58,5
170,17,942,2.15,5
171,18,696,1.51,5
172,19,405,3.05,5
173,20,1334,2.27,5
174,21,2358,3.55,5
175,22,2820,2.85,5
176,23,1307,2.43,5
177,24,471,1.58,5
178,25,1501,2.49,5
179,26,242,2.41,5
180,27,422,2.27,5
181,28,637,2.31,5
182,29,511,3.87,5
183,30,2585,2.92,5
184,31,293,1.4,5
185,32,5145,2.63,5
186,33,1974,2.02,5
187,34,176,2.52,5
188,35,3675,3.18,5
189,36,858,2.25,5
190,37,880,2.26,5
191,38,4155,3.26,5
192,39,358,3.41,5
193,40,979,2.07,5
194,41,217,2.6,5
195,42,1249,1.93,5
196,43,4375,1.68,5
197,44,550,1.93,5
198,45,181,2.89,5
199,46,1711,2.09,5
200,47,1365,1.98,5
201,48,120,1.9,5
202,49,630,3.4,5
203,50,1247,2.18,5
204,51,141,2.45,5
205,1,796,1.67,4
206,2,143,2.01,4
207,3,1233,1.93,4
208,4,719,2.47,4
209,5,6512,1.75,4
210,6,1103,2.19,4
211,7,1040,2.91,4
212,8,291,3.24,4
213,9,4277,2.27,4
214,10,1646,1.7,4
215,11,192,1.41,4
216,12,349,2.23,4
217,13,3034,2.36,4
218,14,1881,2.9,4
219,15,1137,3.73,4
220,16,725,2.54,4
221,17,1014,2.34,4
222,18,703,1.55,4
223,19,419,3.15,4
224,20,1294,2.24,4
225,21,2468,3.77,4
226,22,2892,2.93,4
227,23,1325,2.5,4
228,24,442,1.49,4
229,25,1517,2.53,4
230,26,259,2.62,4
231,27,427,2.34,4
232,28,645,2.39,4
233,29,539,4.09,4
234,30,2562,2.91,4
235,31,289,1.4,4
236,32,5063,2.61,4
237,33,2012,2.11,4
238,34,177,2.63,4
239,35,3772,3.27,4
240,36,885,2.36,4
241,37,889,2.32,4
242,38,4032,3.17,4
243,39,362,3.44,4
244,40,946,2.05,4
245,41,227,2.79,4
246,42,1228,1.94,4
247,43,4426,1.76,4
248,44,549,1.99,4
249,45,179,2.86,4
250,46,1684,2.1,4
251,47,1377,2.05,4
252,48,122,2.03,4
253,49,665,3.59,4
254,50,1249,2.2,4
255,51,139,2.47,4
256,1,634,1.33,3
257,2,143,2.01,3
258,3,1028,1.61,3
259,4,527,1.81,3
260,5,6020,1.62,3
261,6,959,1.91,3
262,7,1183,3.31,3
263,8,265,2.95,3
264,9,3720,1.98,3
265,10,1359,1.4,3
266,11,146,1.07,3
267,12,297,1.89,3
268,13,2958,2.31,3
269,14,1562,2.41,3
270,15,976,3.2,3
271,16,564,1.98,3
272,17,803,1.85,3
273,18,543,1.2,3
274,19,405,3.05,3
275,20,1201,2.08,3
276,21,2224,3.4,3
277,22,2446,2.47,3
278,23,1133,2.14,3
279,24,345,1.16,3
280,25,1233,2.06,3
281,26,219,2.21,3
282,27,377,2.06,3
283,28,510,1.89,3
284,29,446,3.39,3
285,30,2682,3.05,3
286,31,298,1.45,3
287,32,5015,2.59,3
288,33,1606,1.68,3
289,34,157,2.33,3
290,35,3307,2.87,3
291,36,634,1.69,3
292,37,736,1.92,3
293,38,3991,3.14,3
294,39,334,3.17,3
295,40,750,1.62,3
296,41,199,2.44,3
297,42,1117,1.76,3
298,43,3446,1.37,3
299,44,396,1.43,3
300,45,147,2.35,3
301,46,1515,1.89,3
302,47,1100,1.64,3
303,48,101,1.68,3
304,49,434,2.34,3
305,50,1139,2,3
306,51,103,1.83,3
307,1,643,1.37,2
308,2,161,2.31,2
309,3,987,1.5,2
310,4,547,1.89,2
311,5,6065,1.64,2
312,6,904,1.8,2
313,7,1187,3.37,2
314,8,247,2.79,2
315,9,3723,2.01,2
316,10,1352,1.38,2
317,11,140,1.08,2
318,12,292,1.89,2
319,13,3009,2.33,2
320,14,1674,2.61,2
321,15,981,3.26,2
322,16,564,2,2
323,17,795,1.84,2
324,18,564,1.26,2
325,19,410,3.11,2
326,20,1179,2.07,2
327,21,2233,3.39,2
328,22,2531,2.54,2
329,23,1166,2.21,2
330,24,329,1.11,2
331,25,1260,2.1,2
332,26,213,2.18,2
333,27,386,2.15,2
334,28,524,1.98,2
335,29,450,3.4,2
336,30,2668,3.06,2
337,31,294,1.46,2
338,32,4961,2.54,2
339,33,1606,1.71,2
340,34,154,2.38,2
341,35,3433,2.97,2
342,36,641,1.74,2
343,37,746,1.85,2
344,38,4054,3.22,2
345,39,355,3.37,2
346,40,779,1.71,2
347,41,202,2.69,2
348,42,1084,1.72,2
349,43,3445,1.39,2
350,44,388,1.39,2
351,45,156,2.51,2
352,46,1546,1.96,2
353,47,1120,1.68,2
354,48,89,1.48,2
355,49,471,2.59,2
356,50,1224,2.16,2
357,51,110,2.02,2
358,1,658,1.41,1
359,2,178,2.6,1
360,3,1106,1.7,1
361,4,551,1.93,1
362,5,6482,1.76,1
363,6,1005,2.03,1
364,7,1275,3.64,1
365,8,262,3,1
366,9,3927,2.14,1
367,10,1391,1.44,1
368,11,146,1.13,1
369,12,311,2.05,1
370,13,3248,2.52,1
371,14,1775,2.78,1
372,15,1047,3.49,1
373,16,596,2.13,1
374,17,823,1.93,1
375,18,576,1.31,1
376,19,465,3.53,1
377,20,1283,2.28,1
378,21,2403,3.7,1
379,22,2834,2.83,1
380,23,1341,2.6,1
381,24,334,1.14,1
382,25,1317,2.23,1
383,26,231,2.39,1
384,27,409,2.29,1
385,28,549,2.11,1
386,29,474,3.6,1
387,30,2898,3.34,1
388,31,319,1.61,1
389,32,5535,2.84,1
390,33,1716,1.86,1
391,34,162,2.53,1
392,35,3641,3.17,1
393,36,675,1.85,1
394,37,827,2.18,1
395,38,4540,3.65,1
396,39,385,3.66,1
397,40,814,1.82,1
398,41,217,2.7,1
399,42,1113,1.79,1
400,43,3497,1.44,1
401,44,417,1.52,1
402,45,168,2.7,1
403,46,1660,2.14,1
404,47,1174,1.79,1
405,48,108,1.82,1
406,49,496,2.73,1
407,50,1516,2.69,1
408,51,117,2.2,1
